Title	Translated/Adapted by	Based on	Type	Publisher	Year	Edition	Name of the edition	Volume of the edition	Number of pages	Source of information
Robinson: Obraz ze života pro mládež i dospělé.	Pavel Josef Šulc	[German adaptation(s)]	German adaptation	Prague: B. Stýblo, 1886	1886	3rd revised			176	card catalogue of the National library of Prague, and Hardin Craig²
Robinson Crusoe.	Václav Leopold Moser	German adaptation by Gustav Adolf Gräbner	German adaptation	Prague: M. Knapp, 1886	1886	3rd			369	card catalogue of the National library of Prague, and Hardin Craig
Robinson Crusoe.	not specified		not specified	Prague: A. Štorch, 1887	1887				not specified (Craig)	Hardin Craig
Robinson Krusoe: Cesty a příhody Robinsonovy na zemi a na moři.	Jan Václav Novák	adaptation by Karl Rudolf Oskar Höcker	German adaptation	Prague: Fr. A. Urbánek, 1888	1888		Nová knihovna mládeže	series 2, volume 79	181	card catalogue of the National library of Prague, and Hardin Craig
Robinson: Obraz ze života pro mládež i dospělé.	Pavel Josef Šulc	[German adaptation(s)]	German adaptation	Prague: B. Stýblo, 1888	1886	3rd revised (reprint)			176	card catalogue of the National library of Prague, and Hardin Craig²
Robinson Krusoe.	Jan Václav Novák	German adaptation by Joachim Heinrich Campe	German adaptation	Prague: Ignác Leopold Kober, 1890	1890	[1st]			117	card catalogues of both of the libraries, and Hardin Craig²
Robinson: povídka pro mladé i dospělé.	Václav Svoboda		not specified	Prague: Rudolf Štorch, 1892 	1892		Povídky z dalekých krajů	21	44	electronic catalogue of the National library of Prague
Robinson Crusoe: Příběhy dobrodružného jinocha na pustém ostrově.	Václav Leopold Moser	German adaptation by Gustav Adolf Gräbner	German adaptation	Prague: M. Knapp, 1892	1892	4th			352	card catalogue of the National library of Prague, and Hardin Craig
Robinson Krusoe.	not specified		not specified	Prague: A. Hynek, 1893	1893			issues 1-5	not specified (Craig)	Hardin Craig
Život a podivuhodná dobrodružství Robinsona Krusoe, jak je sám vypravuje.	A. M. Lounský and Jaroslav Svákovský		translation	Prague: A. Hynek, 1894	1894	[1st]			380	card catalogue of the National library of Prague, and Hardin Craig
Robinson Crusoe.	not specified		not specified	Kutná Hora: Karel Šolc, 1896	1896				not specified (Craig)	Hardin Craig
